<PrintLog> x: 0, y: 0, alt: 0, battery: 100
<PrintLog> x: 0, y: 0, alt: 1, battery: 100
<PrintLog> x: 0, y: 0, alt: 2, battery: 100
<PrintLog> x: 0, y: 0, alt: 3, battery: 100
<PrintLog> x: 0, y: 0, alt: 4, battery: 100
<PrintLog> x: 0, y: 0, alt: 5, battery: 100
<PrintLog> x: 0, y: 0, alt: 6, battery: 100
<PrintLog> x: 0, y: 0, alt: 7, battery: 100
<PrintLog> x: 0, y: 0, alt: 8, battery: 100
<PrintLog> x: 0, y: 0, alt: 9, battery: 100
<PrintLog> x: 0, y: 0, alt: 10, battery: 100
<PrintLog> x: 0, y: 0, alt: 11, battery: 100
<PrintLog> x: 0, y: 0, alt: 12, battery: 100
<PrintLog> x: 0, y: 0, alt: 13, battery: 100
<PrintLog> x: 0, y: 0, alt: 14, battery: 100
<PrintLog> x: 0, y: 0, alt: 15, battery: 100
<PrintLog> x: 0, y: 0, alt: 16, battery: 100
<PrintLog> x: 0, y: 0, alt: 17, battery: 100
<PrintLog> x: 0, y: 0, alt: 18, battery: 100
<PrintLog> x: 0, y: 0, alt: 19, battery: 100
<PrintLog> x: 0, y: 0, alt: 20, battery: 100
<PrintLog> x: 0, y: 0, alt: 20, battery: 100
<PrintLog> x: 1, y: 0, alt: 20, battery: 99
<PrintLog> x: 2, y: 0, alt: 20, battery: 98
<PrintLog> x: 3, y: 0, alt: 20, battery: 97
<PrintLog> x: 4, y: 0, alt: 20, battery: 96
<PrintLog> x: 5, y: 0, alt: 20, battery: 95
<PrintLog> x: 6, y: 0, alt: 20, battery: 94
<PrintLog> x: 7, y: 0, alt: 20, battery: 93
<PrintLog> x: 8, y: 0, alt: 20, battery: 92
<PrintLog> x: 9, y: 0, alt: 20, battery: 91
<PrintLog> x: 10, y: 0, alt: 20, battery: 90
<PrintLog> x: 11, y: 0, alt: 20, battery: 89
<PrintLog> x: 12, y: 0, alt: 20, battery: 88
<PrintLog> x: 13, y: 0, alt: 20, battery: 87
<PrintLog> x: 14, y: 0, alt: 20, battery: 86
<PrintLog> x: 15, y: 0, alt: 20, battery: 85
